ID,社名（日本語）,社名（英語）,都道府県,地域,カテゴリ,説明（日本語）,説明（英語）,公式URL,従業員数,資本金（万円）,公式サイト確認
mg012,萩野酒造,Hagino Sake,宮城,東北,酒造,萩の鶴の蔵元,Brewer of Hagi no Tsuru,https://www.hagino-shuzou.co.jp/,,,確認済み
mg016,仙台牛タン熟成 利久,Rikyu Gyutan,宮城,東北,食品・調味料,仙台牛タン専門,Sendai gyutan specialist,https://www.rikyu-gyutan.co.jp/,,,確認済み
ak001,大館工芸社 (曲げわっぱ),Odate Kogei (Magewappa),秋田,東北,木工・家具,大館曲げわっぱの伝統工房,Traditional Odate magewappa atelier,https://magewappa.com/,,,確認済み
ak002,柴田慶信商店,Shibata Yoshinobu Shoten,秋田,東北,木工・家具,大館曲げわっぱの名工,Master Odate magewappa maker,https://magewappa.co.jp/,,,確認済み
ak003,栗久 (曲げわっぱ),Kurikyu,秋田,東北,木工・家具,大館の曲げわっぱ専門,Odate magewappa specialist,https://www.kurikyu.jp/,,,確認済み
ak005,無限堂,Mugendo,秋田,東北,食品・調味料,稲庭うどんの老舗,Heritage Inaniwa udon maker,https://www.mugendo.jp/,,,確認済み
ak006,佐藤養助商店,Sato Yosuke Shoten,秋田,東北,食品・調味料,稲庭うどん最古の本家,Oldest Inaniwa udon house,https://www.sato-yoske.co.jp/,,,確認済み
ak007,新政酒造,Aramasa,秋田,東北,酒造,秋田の自然派酒造、6号酵母発祥,"Natural Akita brewer, home of No.6 yeast",https://www.aramasa.jp/,,,確認済み
ak008,高清水 (秋田酒類),Takashimizu,秋田,東北,酒造,秋田の代表的地酒,Representative Akita sake,https://www.takashimizu.co.jp/,,,確認済み
ak009,両関酒造,Ryozeki Brewery,秋田,東北,酒造,湯沢の老舗酒蔵,Yuzawa heritage sake brewer,https://www.ryozeki.co.jp/,,,確認済み
ak010,齋彌酒造,Saiya Sake,秋田,東北,酒造,由利本荘の雪の茅舎,Yurihonjo brewer of Yuki no Bosha,https://www.yukinobosha.jp/,,,確認済み
ak011,山本合名,Yamamoto Sake,秋田,東北,酒造,白瀑の蔵元,Brewer of Shirataki / Yamamoto,https://www.yamamoto-brewery.com/,,,確認済み
ak012,日の丸醸造,Hinomaru Brewery,秋田,東北,酒造,まんさくの花の蔵元,Brewer of Mansaku no Hana,https://hinomaru-sake.com/,,,確認済み
ak015,樺細工工房 八柳,Yatsuyanagi Kabazaiku,秋田,東北,伝統工芸,角館の樺細工,Kakunodate cherry bark craft,https://yatsuyanagi.jp/,,,確認済み
ak016,角館伝四郎,Kakunodate Denshiro,秋田,東北,伝統工芸,角館伝統の樺細工,Kakunodate cherry bark crafts,https://denshiro.jp/,,,確認済み
yg001,出羽桜酒造,Dewazakura,山形,東北,酒造,天童の地酒、海外でも人気,"Tendo brewery, popular overseas",https://www.dewazakura.co.jp/,,,確認済み
yg002,高木酒造,Takagi Sake (Juyondai),山形,東北,酒造,十四代の蔵元,Brewer of Juyondai,,,,確認済み
yg003,楯の川酒造,Tate no Kawa,山形,東北,酒造,楯野川の蔵元、全量純米大吟醸,All junmai daiginjo brewery,https://www.tatenokawa.com/,,,確認済み
yg004,水戸部酒造,Mitobe Sake,山形,東北,酒造,山形正宗の蔵元,Brewer of Yamagata Masamune,https://www.mitobesake.com/,,,確認済み
yg005,小嶋総本店,Kojima Sohonten,山形,東北,酒造,米沢の老舗、東光ブランド,"Yonezawa, Toko brand sake",https://www.toko-sake.co.jp/,,,確認済み
yg006,米沢牛黄木,Yonezawa Beef Oki,山形,東北,食品・調味料,米沢牛の加工メーカー,Yonezawa beef processor,https://o-ki.co.jp/,,,
yg007,天童木工,Tendo Mokko,山形,東北,木工・家具,天童の成形合板家具,Tendo molded plywood furniture,https://www.tendo-mokko.co.jp/,,,確認済み
yg008,佐藤繊維,Sato Seni,山形,東北,アパレル・繊維,寒河江のニット・モヘア紡績,Sagae mohair spinning & knitwear,https://www.satoseni.com/,,,確認済み
yg012,菊地保寿堂 (鋳物),Kikuchi Hojudo,山形,東北,刃物・金物,山形鋳物の名門,Famous Yamagata cast iron maker,https://kikuchi-hojudo.com/,,,確認済み
yg013,オリエンタルカーペット,Oriental Carpet,山形,東北,アパレル・繊維,山辺町の高級緞通,Yamanobe luxury hand-knotted rugs,https://oc-jp.com/,,,確認済み
yg015,おしんの宿 銀山温泉藤屋,Ginzan Onsen Fujiya,山形,東北,伝統工芸,山形伝統建築の改装,Yamagata traditional architecture,https://www.ginzanonsen.jp/yado/fujiya.html,,,
yg016,高畠ワイナリー,Takahata Winery,山形,東北,酒造,高畠町のワイン,Takahata local winery,https://www.takahata-winery.jp/,,,確認済み
fk001,会津漆器 鈴善,Suzuzen Aizu Lacquer,福島,東北,伝統工芸,会津塗の老舗工房,Heritage Aizu lacquer atelier,https://www.suzuzen.com/,,,確認済み
fk002,白木屋漆器店,Shirakiya Lacquer,福島,東北,伝統工芸,会津若松の漆器店,Aizu-Wakamatsu lacquer shop,https://www.shirokiyashikkiten.com/,,,
fk003,末廣酒造,Suehiro Sake,福島,東北,酒造,会津の老舗酒蔵,Aizu heritage sake brewer,https://www.sake-suehiro.jp/,,,確認済み
fk004,宮泉銘醸,Miyaizumi Brewery,福島,東北,酒造,写楽ブランドの蔵元,Brewer of Sharaku sake,https://miyaizumi.co.jp/,,,確認済み
fk005,飛露喜 (廣木酒造),Hiroki Brewery (Hiroki),福島,東北,酒造,会津の名酒・飛露喜,Famous Aizu sake Hiroki,,,,確認済み
fk006,大七酒造,Daishichi,福島,東北,酒造,二本松の生酛造り蔵元,Nihonmatsu kimoto-style brewer,https://www.daishichi.com/,,,確認済み
fk007,奥の松酒造,Okunomatsu,福島,東北,酒造,二本松の地酒,Nihonmatsu local sake,https://www.okunomatsu.co.jp/,,,確認済み
fk008,喜多方ラーメン老麺会,Kitakata Ramen Roumen,福島,東北,食品・調味料,喜多方ラーメンの製麺,Kitakata ramen noodle makers,http://www.ramenkai.com/,,,
fk010,赤べこ工房 山田民芸,Yamada Mingei (Akabeko),福島,東北,伝統工芸,会津の赤べこ郷土玩具,Aizu Akabeko folk toy,,,,
fk011,会津本郷焼 流紋焼,Aizu Hongoyaki Ryumon,福島,東北,硝子・陶磁器,会津本郷焼の窯元,Aizu Hongo pottery kiln,http://www.ryuumon.co.jp/,,,
fk018,会津桐タンス,Aizu Paulownia Chest,福島,東北,木工・家具,会津桐の伝統箪笥,Aizu paulownia traditional chest,http://www.aizukiri.co.jp/,,,
ib001,木内酒造 (常陸野ネスト),Kiuchi Brewery (Hitachino Nest),茨城,関東,酒造,常陸野ネストビールで世界的に有名,Globally famous Hitachino Nest Beer,https://www.kodawari.cc/,,,確認済み
ib002,明利酒類,Meiri Shurui,茨城,関東,酒造,水戸の梅酒・日本酒メーカー,Mito plum wine & sake maker,https://www.meirishurui.com/,,,確認済み
ib003,府中誉 (渡舟),Watabune (Fuchu Homare),茨城,関東,酒造,渡舟ブランドの蔵元,Brewer of Watabune sake,https://www.fuchuhomare.com/,,,確認済み
ib004,来福酒造,Raifuku Brewery,茨城,関東,酒造,筑西の地酒蔵,Chikusei local sake brewer,https://www.raifuku.co.jp/,,,確認済み
ib005,笠間焼 向山窯,Mukoyama Gama Kasama,茨城,関東,硝子・陶磁器,笠間焼の代表窯元,Famous Kasama-yaki kiln,https://kasamayaki.co.jp/,,,
ib006,笠間芸術の森協同組合,Kasama Geijutsu,茨城,関東,硝子・陶磁器,笠間焼の窯元グループ,Kasama-yaki kiln cooperative,https://www.kasamayaki.or.jp/,,,
ib007,納豆 だるま食品,Daruma Natto,茨城,関東,食品・調味料,水戸納豆の老舗,Heritage Mito natto,http://www.darumanatto.jp/,,,
ib008,水戸納豆 天狗,Tengu Natto Mito,茨城,関東,食品・調味料,水戸納豆の代表ブランド,Famous Mito natto brand,https://www.tengunatto.com/,,,確認済み
ib012,結城紬郷土館,Yuki Tsumugi Atelier,茨城,関東,アパレル・繊維,結城紬の伝統工房,Yuki tsumugi silk atelier,,,,
ib013,結城紬本場奥順,Honba Okujun Yuki,茨城,関東,アパレル・繊維,結城紬の老舗問屋,Heritage Yuki tsumugi house,https://yukitumugi.co.jp/,,,確認済み
ib019,常陸大宮和紙,Hitachi-Omiya Washi,茨城,関東,和紙・紙製品,西の内紙の伝統和紙,Nishinouchi traditional washi,http://www.kaminosato.com/,,,
tg001,益子焼 つかもと,Tsukamoto Mashiko,栃木,関東,硝子・陶磁器,益子焼の老舗窯元,Heritage Mashiko-yaki kiln,https://www.tsukamoto.net/,,,確認済み
tg002,益子焼 大誠窯,Taisei Gama Mashiko,栃木,関東,硝子・陶磁器,益子焼の窯元,Mashiko-yaki kiln,,,,
tg003,益子焼共販センター,Mashiko Coop,栃木,関東,硝子・陶磁器,益子焼の販売拠点,Mashiko-yaki sales hub,,,,
tg004,惣誉酒造,Sohomare,栃木,関東,酒造,市貝の生酛造り蔵元,Ichikai kimoto-style brewer,https://www.sohomare.co.jp/,,,確認済み
tg005,せんきん (仙禽),Senkin,栃木,関東,酒造,さくら市の革新派蔵元,Sakura City innovative brewery,https://senkin.co.jp/,,,確認済み
tg007,渡邊佐平商店,Watanabe Sahei,栃木,関東,酒造,日光の老舗酒蔵,Nikko heritage sake brewer,https://www.watanabesahei.co.jp/,,,
tg008,宇都宮餃子協会連携,Utsunomiya Gyoza,栃木,関東,食品・調味料,宇都宮餃子の地場メーカー,Utsunomiya gyoza makers,https://www.gyozakai.com/,,,
tg009,日光プリン亭,Nikko Purin Tei,栃木,関東,食品・調味料,日光のプリン専門,Nikko pudding specialist,https://nikko-pudding.jp/,,,
tg010,今市味噌,Imaichi Miso,栃木,関東,食品・調味料,日光今市の老舗味噌,Imaichi heritage miso,https://www.tamarizuke.co.jp/,,,
tg011,日光彫工芸組合,Nikko Carving Co-op,栃木,関東,木工・家具,日光彫の伝統工芸,Nikko carving guild,,,,
tg012,小砂焼 藤田製陶所,Fujita Kosaago Yaki,栃木,関東,硝子・陶磁器,小砂焼の窯元,Kosago pottery kiln,https://www.koisagoyaki.co.jp/,,,
tg014,栃木レザー,Tochigi Leather,栃木,関東,革製品,国産タンニンなめし革,Domestic vegetable-tanned leather,https://www.tochigi-leather.com/,,,確認済み
tg017,鹿沼組子,Kanuma Kumiko,栃木,関東,木工・家具,鹿沼の伝統組子細工,Kanuma kumiko wood lattice,,,,
gm002,ヨコオデイリーフーズ,Yokoo Daily Foods,群馬,関東,食品・調味料,群馬のこんにゃく加工,Gunma konjac processor,https://www.yokoodairyfoods.co.jp/,,,確認済み
gm003,下仁田納豆,Shimonita Natto,群馬,関東,食品・調味料,下仁田の藁納豆,Shimonita straw-wrapped natto,https://www.shimonita-natto.jp/,,,
gm004,高崎ハム,Takasaki Ham,群馬,関東,食品・調味料,高崎の老舗ハム・ソーセージ,Heritage Takasaki ham,https://www.jazmf.co.jp/,,,
gm005,水沢うどん 大澤屋,Osawaya Mizusawa Udon,群馬,関東,食品・調味料,水沢うどんの老舗,Heritage Mizusawa udon,https://www.osawaya.co.jp/,,,確認済み
gm006,水沢うどん 田丸屋,Tamaruya Mizusawa Udon,群馬,関東,食品・調味料,創業400年の水沢うどん,400-year Mizusawa udon house,https://www.tamaruya.jp/,,,確認済み
gm007,分福酒造,Bunpuku Brewery,群馬,関東,酒造,館林の老舗酒蔵,Tatebayashi heritage sake,http://www.bunbuku.net/,,,
gm008,龍神酒造,Ryujin Brewery,群馬,関東,酒造,群馬の地酒・尾瀬の雪どけ,Brewer of Oze no Yukidoke,http://www.ryujin.jp/,,,確認済み
gm009,近藤酒造,Kondo Brewery,群馬,関東,酒造,赤城山の蔵元,Brewer of Akagisan sake,https://akagisan.com/,,,確認済み
gm010,桐生織物協同組合,Kiryu Textile Coop,群馬,関東,アパレル・繊維,桐生織の伝統織物,Kiryu traditional weaving,http://www.kiryuorimono.or.jp/,,,
gm011,伊勢崎銘仙,Isesaki Meisen,群馬,関東,アパレル・繊維,伊勢崎の銘仙織物,Isesaki meisen textile,,,,
gm012,碓氷製糸,Usui Silk Reeling,群馬,関東,アパレル・繊維,安中の生糸製糸,Annaka silk reeling,http://www.usuiseishi.co.jp/,,,
gm013,富岡シルク,Tomioka Silk,群馬,関東,アパレル・繊維,富岡の絹織物,Tomioka silk fabric,https://www.tomioka-silkbrand.jp/,,,
gm019,草津温泉湯の花,Kusatsu Yu no Hana,群馬,関東,化粧品,草津温泉素材のバス用品,Kusatsu onsen bath products,https://www.yunokahonpo.com/,,,
st001,川越米菓 紋蔵庵,Monzoan Kawagoe,埼玉,関東,食品・調味料,川越芋せんべいの老舗,Heritage Kawagoe sweet potato sembei,https://monzouan.com/,,,
st002,くらづくり本舗,Kurazukuri Honpo,埼玉,関東,食品・調味料,川越の芋菓子老舗,Heritage Kawagoe sweet potato confectioner,https://www.kurazukuri.com/,,,確認済み
st003,亀屋 (川越),Kameya Kawagoe,埼玉,関東,食品・調味料,川越芋菓子の老舗,Kawagoe sweet potato confectioner,https://www.koedo-kameya.com/,,,確認済み
st005,小川町手すき和紙,Ogawa Tesuki Washi,埼玉,関東,和紙・紙製品,ユネスコ無形文化遺産和紙,UNESCO-listed handmade washi,https://saitama-ogawawashi.jp/,,,確認済み
st006,晴雲酒造,Seiun Brewery,埼玉,関東,酒造,小川町の地酒,Ogawa-machi local sake,https://www.seiun-sake.co.jp/,,,
st007,小江戸鏡山酒造,Kagamiyama Brewery,埼玉,関東,酒造,川越の地酒蔵,Kawagoe local sake brewer,https://kagamiyama.jp/,,,確認済み
st008,神亀酒造,Shinkame Brewery,埼玉,関東,酒造,蓮田の純米酒先駆け,Hasuda pioneer of all-junmai sake,https://www.shinkame.co.jp/,,,確認済み
st009,武甲酒造,Buko Brewery,埼玉,関東,酒造,秩父の老舗酒蔵,Chichibu heritage sake brewer,https://www.bukou.co.jp/,,,確認済み
st010,イチローズモルト (ベンチャーウイスキー),Ichiro's Malt,埼玉,関東,酒造,秩父の世界的ウイスキー蒸留所,World-famous Chichibu whisky distillery,https://www.one-drinks.com/,,,確認済み
st011,秩父錦 矢尾本店,Yao Honten Chichibu,埼玉,関東,酒造,秩父の地酒・秩父錦,Chichibu Nishiki sake brewer,https://www.chichibu-nishiki.co.jp/,,,確認済み
st014,草加せんべい振興協議会,Soka Senbei,埼玉,関東,食品・調味料,草加せんべいの製造者組合,Soka senbei rice cracker makers,https://sokasenbei.com/,,,
st015,狭山茶 中島園,Nakajima-en Sayama Tea,埼玉,関東,お茶,狭山茶の老舗茶園,Heritage Sayama tea garden,,,,
st016,狭山茶 関口園,Sekiguchi-en Sayama,埼玉,関東,お茶,狭山茶の代表的茶園,Representative Sayama tea grower,https://www.sekiguchien-shop.com/,,,確認済み
st017,狭山茶 比留間園,Hiruma-en Sayama Tea,埼玉,関東,お茶,入間の老舗茶園,Heritage Iruma tea garden,https://www.hirumaen.com/,,,確認済み
st018,川口鋳物協同組合,Kawaguchi Cast Iron,埼玉,関東,刃物・金物,川口の鋳物産業,Kawaguchi cast iron makers,https://www.kawaguchi-imono.jp/,,,
st020,秩父銘仙,Chichibu Meisen,埼玉,関東,アパレル・繊維,秩父銘仙の伝統織物,Chichibu meisen textile,,,,
cb001,千葉県落花生協同組合,Chiba Peanut Coop,千葉,関東,食品・調味料,千葉産落花生加工,Chiba peanut processors,,,,
cb002,米屋 (なごみの米屋),Yoneya Confectionery,千葉,関東,食品・調味料,成田の和菓子・栗ようかん,"Narita confectioner, chestnut yokan",https://www.nagomi-yoneya.co.jp/,,,確認済み
cb003,オランダ家,Holland-ya,千葉,関東,食品・調味料,千葉の洋菓子老舗,Heritage Chiba Western confectioner,https://www.holland-ya.jp/,,,確認済み
cb004,ヒゲタ醤油,Higeta Shoyu,千葉,関東,食品・調味料,銚子の老舗醤油蔵,Heritage Choshi soy sauce brewer,https://www.higeta.co.jp/,,,確認済み
cb005,ヤマサ醤油,Yamasa Shoyu,千葉,関東,食品・調味料,銚子の老舗醤油蔵,Heritage Choshi soy sauce brewer,https://www.yamasa.com/,,,確認済み
cb006,宮醤油店,Miya Shoyu,千葉,関東,食品・調味料,富津の伝統醤油蔵,Futtsu traditional soy sauce,https://www.miyashoyu.co.jp/,,,確認済み
cb007,ちば醤油,Chiba Shoyu,千葉,関東,食品・調味料,県内地場醤油メーカー,Local Chiba soy sauce maker,https://www.chibashoyu.com/,,,
cb008,飯沼本家,Iinuma Honke,千葉,関東,酒造,印旛の老舗酒蔵 (甲子),"Inba heritage brewer, Kinoene",https://www.iinumahonke.co.jp/,,,確認済み
cb009,鍋店 (なべだな),Nabedana Brewery,千葉,関東,酒造,成田の地酒・仁勇,"Narita local sake, Jinyu",https://www.nabedana.co.jp/,,,確認済み
cb010,寒菊銘醸,Kankiku,千葉,関東,酒造,九十九里の蔵元,Kujukuri sake brewer,https://kankiku.com/,,,確認済み
cb014,銚子水産加工,Choshi Suisan Kako,千葉,関東,食品・調味料,銚子の干物加工,Choshi dried fish processor,https://allchoshi.com/,,,
cb015,南房総オリーブ,Minamiboso Olive,千葉,関東,食品・調味料,南房総のオリーブ栽培加工,Minamiboso olive grower & oil,https://boso-olive.co.jp/,,,
cb022,山武の海の塩,Kujukuri Salt,千葉,関東,食品・調味料,九十九里の天日塩,Kujukuri sun-dried sea salt,http://sammu-sea-salt.com/,,,
cb024,流山みりん 万上,Manjo Mirin Nagareyama,千葉,関東,食品・調味料,流山のみりん発祥蔵,Nagareyama mirin origin brewery,https://www.kikkoman.co.jp/manjo/,,,確認済み
tk001,江戸切子 堀口硝子,Horiguchi Glass (Edo Kiriko),東京,関東,硝子・陶磁器,江戸切子の代表的工房,Famous Edo Kiriko cut glass atelier,https://www.horiguchiglass.com/,,,確認済み
tk002,清水硝子 (江戸切子),Shimizu Glass Edo Kiriko,東京,関東,硝子・陶磁器,江東区の江戸切子工房,Koto-ku Edo Kiriko atelier,https://kiriko.net/,,,確認済み
tk003,華硝 (江戸切子),Kagami Crystal Hanashyo,東京,関東,硝子・陶磁器,江戸切子・伝統工芸士,Edo Kiriko master craftsman house,https://www.hanashyo.com/,,,確認済み
tk004,木本硝子,Kimoto Glass,東京,関東,硝子・陶磁器,墨田の江戸切子・薄玻璃,Sumida Edo Kiriko & thin glass,https://www.kimotoglass.tokyo/,,,確認済み
tk005,廣田硝子,Hirota Glass,東京,関東,硝子・陶磁器,墨田の老舗ガラスメーカー,Heritage Sumida glassmaker,https://hirota-glass.co.jp/,,,確認済み
tk006,中川政七商店 東京,Nakagawa Masashichi Tokyo,東京,関東,伝統工芸,日本工芸セレクト,Japanese craft selector,https://www.nakagawa-masashichi.jp/,,,確認済み
